City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,52.9,84,49,7.45,scattered clouds
1,Rikitea,PF,-23.1203,-134.9692,75.47,71,100,10.78,overcast clouds
2,Havelock,US,34.8791,-76.9013,75.94,79,75,9.22,broken clouds
3,Hobart,AU,-42.8794,147.3294,43.05,92,0,5.75,clear sky
4,Te Anau,NZ,-45.4167,167.7167,39.85,89,100,1.68,overcast clouds
5,Kamaishi,JP,39.2667,141.8833,50.97,92,88,4.09,overcast clouds
6,Cidreira,BR,-30.1811,-50.2056,61.93,74,7,14.9,clear sky
7,Palaikastron,GR,35.2,26.25,74.23,75,0,16.58,clear sky
8,Upernavik,GL,72.7868,-56.1549,28.99,77,15,16.89,few clouds
9,Chuy,UY,-33.6971,-53.4616,58.12,62,100,10.78,overcast clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,10.36,overcast clouds
11,Sitka,US,57.0531,-135.33,55.29,71,40,4.61,scattered clouds
12,Caravelas,BR,-17.7125,-39.2481,75.16,84,42,15.35,scattered clouds
13,Chokurdakh,RU,70.6333,147.9167,41.7,53,100,13.22,overcast clouds
14,Albany,US,42.6001,-73.9662,70.03,62,2,4.54,clear sky
15,East London,ZA,-33.0153,27.9116,67.14,72,0,16.11,clear sky
16,Kaitangata,NZ,-46.2817,169.8464,40.41,86,59,5.48,broken clouds
17,Port Elizabeth,ZA,-33.918,25.5701,67.1,72,20,17.27,few clouds
18,Barrow,US,71.2906,-156.7887,28.42,86,100,21.85,mist
19,Hermanus,ZA,-34.4187,19.2345,63.81,82,100,5.68,overcast clouds
20,Dickinson,US,29.4608,-95.0513,80.02,85,11,4.0,few clouds
21,Puerto Escondido,MX,15.85,-97.0667,81.07,78,22,2.57,few clouds
22,Umm Kaddadah,SD,13.6017,26.6876,101.62,12,92,13.06,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,36.48,91,100,3.22,overcast clouds
24,Corum,TR,40.5,34.75,78.17,45,0,10.4,clear sky
25,Salamiyah,SY,35.0113,37.0532,89.53,15,0,16.31,clear sky
26,Avarua,CK,-21.2078,-159.775,75.25,88,75,8.05,light rain
27,Tasiilaq,GL,65.6145,-37.6368,39.45,58,7,9.33,clear sky
28,Cabedelo,BR,-6.9811,-34.8339,79.47,76,100,9.46,overcast clouds
29,Dingle,PH,10.9995,122.6711,79.14,81,93,2.89,overcast clouds
30,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,40,11.5,scattered clouds
31,Tabuk,PH,17.4189,121.4443,75.96,91,75,4.9,broken clouds
32,Mersing,MY,2.4312,103.8405,82.31,83,40,4.61,scattered clouds
33,Mezen,RU,65.8522,44.24,73.22,20,1,11.5,clear sky
34,Teknaf,BD,20.8624,92.3058,81.45,84,85,7.0,overcast clouds
35,Bengkulu,ID,-3.8004,102.2655,78.4,84,97,3.58,overcast clouds
36,Constitucion,CL,-35.3333,-72.4167,53.64,91,100,18.68,moderate rain
37,Ushuaia,AR,-54.8,-68.3,35.22,75,75,19.57,light snow
38,Bluff,NZ,-46.6,168.3333,36.81,81,100,7.0,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,33.91,80,20,8.05,few clouds
40,Devonport,AU,-41.1667,146.35,45.09,90,100,5.35,overcast clouds
41,Kruisfontein,ZA,-34.0033,24.7314,64.89,66,100,15.14,overcast clouds
42,Vaini,TO,-21.2,-175.2,69.96,94,20,3.44,few clouds
43,Airai,TL,-8.9266,125.4092,60.71,95,85,1.61,overcast clouds
44,Port Blair,IN,11.6667,92.75,80.64,83,75,2.3,mist
45,Bandarbeyla,SO,9.4942,50.8122,82.38,68,24,29.71,few clouds
46,Eureka,US,40.8021,-124.1637,57.74,83,100,3.0,overcast clouds
47,Saryg-Sep,RU,51.5,95.6,57.31,30,12,4.12,few clouds
48,Muzhi,RU,65.3667,64.6667,51.51,24,16,13.82,few clouds
49,Breves,BR,-1.6822,-50.4803,84.15,69,50,3.85,scattered clouds
50,Atuona,PF,-9.8,-139.0333,77.36,79,17,17.13,few clouds
51,Aswan,EG,24.0934,32.907,107.82,8,16,11.18,few clouds
52,Calderitas,MX,18.55,-88.25,78.78,77,13,6.11,few clouds
53,Bredasdorp,ZA,-34.5322,20.0403,61.36,80,100,11.9,overcast clouds
54,Yar-Sale,RU,66.8333,70.8333,43.9,34,67,22.37,broken clouds
55,Sambava,MG,-14.2667,50.1667,76.46,73,0,16.53,clear sky
56,Nikolskoye,RU,59.7035,30.7861,57.09,83,81,8.61,light rain
57,Ornskoldsvik,SE,63.2909,18.7153,61.59,40,100,13.96,overcast clouds
58,Pisco,PE,-13.7,-76.2167,61.02,94,100,2.3,mist
59,Kutum,SD,14.2,24.6667,93.51,14,100,14.65,overcast clouds
60,Hilo,US,19.7297,-155.09,83.28,97,100,6.91,moderate rain
61,Port Hedland,AU,-20.3167,118.5667,66.25,77,6,5.75,clear sky
62,Innisfail,AU,-17.5333,146.0333,67.53,93,60,3.94,broken clouds
63,Katsuura,JP,35.1333,140.3,64.74,72,5,5.66,clear sky
64,Yellowknife,CA,62.456,-114.3525,54.12,54,20,5.75,few clouds
65,Ostrovnoy,RU,68.0531,39.5131,55.72,48,100,18.72,overcast clouds
66,Emerald,AU,-23.5333,148.1667,61.34,84,0,7.07,clear sky
67,Kapaa,US,22.0752,-159.319,69.12,95,8,7.31,clear sky
68,Qaanaaq,GL,77.484,-69.3632,26.44,82,17,8.43,few clouds
69,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,32,15.97,light rain
