City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kudat,MY,76.93,few clouds,6.8837,116.8477,Dream Garden Hotel
7,Sao Francisco,BR,87.6,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
12,Hami,CN,80.29,few clouds,42.8,93.45,Laoyutang Resort
15,Rikitea,PF,75.52,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
30,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Banjar,ID,78.12,broken clouds,-8.19,114.9675,The Hamsa Resort
37,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
50,Bethel,US,78.15,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
56,Alyangula,AU,76.46,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
57,Dingle,PH,78.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
58,Les Cayes,HT,83.39,scattered clouds,18.2,-73.75,Villa Orphee
59,Auki,SB,78.35,overcast clouds,-8.7676,160.7034,Auki Motel
60,Cockburn Town,TC,80.46,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
69,Butaritari,KI,80.74,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
71,Faya,SA,79.32,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
76,Urucara,BR,86.77,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
78,Russell,US,77.38,scattered clouds,32.3502,-85.1999,Macs
86,Mana,GF,83.39,broken clouds,5.6592,-53.7767,LE SAMANA
87,Anahuac,MX,85.48,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
89,Omboue,GA,79.38,broken clouds,-1.5746,9.2618,Hotel Olako
90,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Kitgum,UG,83.53,broken clouds,3.2783,32.8867,Jaflo Gardens Hotel
94,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
97,Suphan Buri,TH,81.91,overcast clouds,14.4742,100.1222,Vasidtee City Hotel
104,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,Kalmunai,LK,79.88,moderate rain,7.4167,81.8167,VS Villa
115,Pemba,MZ,75.96,light rain,-12.974,40.5178,Guesthouse Samotina
119,Ambulu,ID,76.8,light rain,-8.345,113.6058,Hotel Ambulu Jember
121,Sao Filipe,CV,78.4,few clouds,14.8961,-24.4956,Hotel Xaguate
126,Lagos,NG,89.92,overcast clouds,6.5833,3.75,
128,Damara,CF,76.37,light rain,4.9608,18.7035,
132,Robertsport,LR,81.05,broken clouds,6.7533,-11.3686,Kwepunha Retreat
134,Faanui,PF,80.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Georgetown,MY,84.15,scattered clouds,5.4112,100.3354,Cititel Penang
141,La Romana,DO,86.4,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
142,Phan Thiet,VN,79.7,few clouds,10.9333,108.1,Hotel Saigon-PT
145,Tabou,CI,80.15,light rain,4.423,-7.3528,hotêl doufoulougou
153,Touros,BR,84.04,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
154,Luau,AO,79.54,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
157,Kourou,GF,86.11,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
159,Acapulco,MX,82.6,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
160,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
166,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
168,Lapao,BR,84.2,overcast clouds,-11.3833,-41.8319,Pousada Toque De Classe
169,Pedernales,DO,86.4,scattered clouds,18.0384,-71.744,Hotel Costa Marina
173,Lisala,CD,81.63,overcast clouds,2.15,21.5167,Guest house Eden
175,Alofi,NU,78.93,light rain,-19.0595,-169.9187,Taloa Heights
177,Sanandaj,IR,83.28,overcast clouds,35.3144,46.9923,Sanandaj Tourist Hotel
178,Saint George,US,75.79,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Calarasi,MD,78.93,broken clouds,47.2544,28.3081,Hotel-Diana's
183,Bengkulu,ID,77.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
184,Sibolga,ID,77.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
187,Brandon,US,79.25,overcast clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
188,Morondava,MG,77.61,clear sky,-20.2833,44.2833,La Case Bambou
189,Luwuk,ID,77.43,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
191,Tutoia,BR,78.58,overcast clouds,-2.7619,-42.2744,Pousada Guará's
194,Mayo,US,82.51,clear sky,38.8876,-76.5119,Resorts Resource Group International
