City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,54.19,81,50,7.34,scattered clouds
1,Lompoc,US,34.6391,-120.4579,58.78,96,100,10.36,mist
2,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,83,100,11.95,overcast clouds
3,Esperance,AU,-33.8667,121.9,57.04,72,99,23.82,light rain
4,Viransehir,TR,37.2353,39.7631,96.15,10,0,13.94,clear sky
5,Ahipara,NZ,-35.1667,173.1667,54.18,80,100,4.99,overcast clouds
6,Kudat,MY,6.8837,116.8477,76.93,94,20,0.0,few clouds
7,Sao Francisco,BR,-15.9486,-44.8644,87.6,34,53,9.01,light rain
8,Imbituba,BR,-28.24,-48.6703,64.09,82,34,1.99,scattered clouds
9,Albany,US,42.6001,-73.9662,74.95,54,1,7.31,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,33.91,80,75,6.91,light shower sleet
11,Potiskum,NG,11.7091,11.0694,102.11,16,100,5.03,overcast clouds
12,Hami,CN,42.8,93.45,80.29,11,14,8.66,few clouds
13,Tiksi,RU,71.6872,128.8694,45.77,87,71,7.29,broken clouds
14,Geraldton,AU,-28.7667,114.6,52.21,71,100,10.36,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,75.52,72,100,11.23,overcast clouds
16,Semey,KZ,50.4111,80.2275,58.84,34,12,7.47,few clouds
17,Clyde River,CA,70.4692,-68.5914,30.43,93,100,6.91,mist
18,Khatanga,RU,71.9667,102.5,28.94,87,100,14.72,light snow
19,Nemuro,JP,43.3236,145.575,44.33,91,100,18.01,overcast clouds
20,Dullewala,PK,31.8359,71.4362,101.57,5,0,7.4,clear sky
21,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,94,75,17.76,light rain
22,New Norfolk,AU,-42.7826,147.0587,44.1,88,74,1.7,broken clouds
23,Kaitangata,NZ,-46.2817,169.8464,40.39,85,73,6.11,broken clouds
24,Mackay,AU,-21.15,149.2,70.68,88,9,3.44,clear sky
25,Bluff,NZ,-46.6,168.3333,35.8,80,100,7.27,overcast clouds
26,Cabo San Lucas,MX,22.8909,-109.9124,79.61,68,0,8.9,clear sky
27,Port Macquarie,AU,-31.4333,152.9167,44.89,77,50,4.65,scattered clouds
28,Qaanaaq,GL,77.484,-69.3632,27.36,80,34,6.69,scattered clouds
29,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,49,0,10.36,clear sky
30,Hilo,US,19.7297,-155.09,82.27,96,100,4.61,moderate rain
31,Sant,RO,47.45,24.9,61.43,96,100,1.66,overcast clouds
32,Banjar,ID,-8.19,114.9675,78.12,90,84,2.26,broken clouds
33,Hobart,AU,-42.8794,147.3294,44.46,91,89,10.36,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,64.81,75,20,16.11,few clouds
35,Airai,TL,-8.9266,125.4092,60.42,94,81,1.74,broken clouds
36,Turinsk,RU,58.0458,63.696,53.58,60,6,3.56,clear sky
37,Hambantota,LK,6.1241,81.1185,80.94,94,20,11.5,few clouds
38,Chuy,UY,-33.6971,-53.4616,59.02,59,100,11.5,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,35.47,87,100,3.51,overcast clouds
40,Tupik,RU,54.4253,119.9327,52.68,89,98,3.51,overcast clouds
41,Evanston,US,42.0411,-87.6901,68.11,49,94,3.0,overcast clouds
42,Bilibino,RU,68.0546,166.4372,34.18,69,58,4.14,broken clouds
43,Plettenberg Bay,ZA,-34.0527,23.3716,61.16,70,100,8.7,overcast clouds
44,Port Hedland,AU,-20.3167,118.5667,64.45,88,7,4.61,clear sky
45,Carnarvon,AU,-24.8667,113.6333,70.39,40,100,11.59,overcast clouds
46,Dubbo,AU,-32.25,148.6167,50.13,87,100,10.36,overcast clouds
47,Tacuarembo,UY,-31.7333,-55.9833,57.42,68,45,11.65,scattered clouds
48,Talnakh,RU,69.4865,88.3972,31.21,83,100,10.16,light snow
49,Lebu,CL,-37.6167,-73.65,51.75,97,100,6.89,overcast clouds
50,Bethel,US,41.3712,-73.414,78.15,55,12,3.0,few clouds
51,Sept-Iles,CA,50.2001,-66.3821,55.92,65,75,12.66,broken clouds
52,East London,ZA,-33.0153,27.9116,65.34,88,20,16.11,few clouds
53,Pevek,RU,69.7008,170.3133,29.23,98,100,9.89,light snow
54,Iqaluit,CA,63.7506,-68.5145,42.53,70,20,3.44,few clouds
55,Castro,BR,-24.7911,-50.0119,59.49,71,77,6.49,broken clouds
56,Alyangula,AU,-13.8483,136.4192,76.46,86,45,8.77,scattered clouds
