City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Delgada,PT,2022-05-30 19:30:54,37.7333,-25.6667,60.49,88,75,5.75
1,East London,ZA,2022-05-30 19:30:55,-33.0153,27.9116,57.58,57,100,6.78
2,Nikolskoye,RU,2022-05-30 19:30:55,59.7035,30.7861,62.49,73,99,4.25
3,Codrington,AU,2022-05-30 19:30:55,-38.2667,141.9667,46.94,78,89,15.66
4,Punta Arenas,CL,2022-05-30 19:30:15,-53.15,-70.9167,46.51,76,0,20.71
5,Senador Guiomard,BR,2022-05-30 19:30:56,-10.1522,-67.7392,91.15,58,96,1.81
6,Baruun-Urt,MN,2022-05-30 19:30:56,46.6806,113.2792,44.04,58,80,2.17
7,Ribeira Grande,PT,2022-05-30 19:30:56,38.5167,-28.7,63.0,67,40,36.82
8,Jamestown,US,2022-05-30 19:30:57,42.097,-79.2353,85.51,39,0,11.5
9,Ampanihy,MG,2022-05-30 19:30:57,-24.7,44.75,62.85,88,0,4.07
10,Pisco,PE,2022-05-30 19:30:57,-13.7,-76.2167,69.03,68,0,5.75
11,Dikson,RU,2022-05-30 19:30:57,73.5069,80.5464,27.84,96,100,6.58
12,Naryan-Mar,RU,2022-05-30 19:30:58,67.6713,53.087,39.67,70,21,10.76
13,Bontang,ID,2022-05-30 19:30:58,0.1333,117.5,76.23,84,83,4.76
14,Moron,AR,2022-05-30 19:30:58,-34.6534,-58.6198,52.97,49,7,7.16
15,Barrow,US,2022-05-30 19:28:16,71.2906,-156.7887,32.02,86,100,13.8
16,New Norfolk,AU,2022-05-30 19:30:59,-42.7826,147.0587,41.67,88,100,1.88
17,Balakhninskiy,RU,2022-05-30 19:30:59,58.0106,114.2769,38.86,94,14,1.74
18,Haines Junction,CA,2022-05-30 19:30:59,60.7522,-137.5108,64.35,24,0,4.61
19,Tahta,EG,2022-05-30 19:31:00,26.7693,31.5021,90.46,10,0,9.86
20,Avarua,CK,2022-05-30 19:31:00,-21.2078,-159.775,77.05,83,75,12.66
21,High Level,CA,2022-05-30 19:31:00,58.5169,-117.136,60.91,33,75,4.61
22,Bethel,US,2022-05-30 19:29:40,41.3712,-73.414,88.18,53,0,11.5
23,Byron Bay,AU,2022-05-30 19:29:12,-28.65,153.6167,57.94,56,5,21.65
24,Jonkoping,SE,2022-05-30 19:30:29,57.7814,14.1562,55.11,71,75,3.44
25,Hermanus,ZA,2022-05-30 19:31:01,-34.4187,19.2345,51.8,73,93,16.58
26,Cabadiangan,PH,2022-05-30 19:31:01,9.7531,122.4739,78.73,78,100,4.16
27,Butaritari,KI,2022-05-30 19:26:05,3.0707,172.7902,81.37,73,98,15.99
28,Ahipara,NZ,2022-05-30 19:31:02,-35.1667,173.1667,59.77,92,100,6.96
29,Busselton,AU,2022-05-30 19:31:02,-33.65,115.3333,52.09,86,0,7.81
30,Kiama,AU,2022-05-30 19:31:03,-34.6833,150.8667,54.45,71,82,10.0
31,Tezu,IN,2022-05-30 19:31:03,27.9167,96.1667,75.4,75,7,4.07
32,Guerrero Negro,MX,2022-05-30 19:29:54,27.9769,-114.0611,68.36,59,13,18.01
33,Santa Isabel Do Rio Negro,BR,2022-05-30 19:31:04,-0.4139,-65.0192,81.84,85,97,2.33
34,Lashio,MM,2022-05-30 19:31:04,22.9333,97.75,68.36,95,10,0.78
35,Oktyabrskoye,RU,2022-05-30 19:31:04,43.0645,44.7417,68.14,83,28,8.95
36,Mar Del Plata,AR,2022-05-30 19:31:05,-38.0023,-57.5575,49.08,48,40,10.36
37,Thompson,CA,2022-05-30 19:31:05,55.7435,-97.8558,46.56,93,100,9.22
38,Kyzyl-Suu,KG,2022-05-30 19:31:05,42.3414,78.0056,46.44,91,100,4.85
39,Ushuaia,AR,2022-05-30 19:29:25,-54.8,-68.3,44.26,81,75,25.32
40,Vila Franca Do Campo,PT,2022-05-30 19:31:06,37.7167,-25.4333,60.19,90,98,10.98
41,Ambulu,ID,2022-05-30 19:31:06,-8.345,113.6058,74.25,88,18,3.29
42,Jasper,US,2022-05-30 19:31:07,37.2001,-94.3502,85.1,55,40,26.46
43,Port Lincoln,AU,2022-05-30 19:31:07,-34.7333,135.8667,55.11,60,99,29.06
44,Vaini,TO,2022-05-30 19:31:07,-21.2,-175.2,75.36,94,20,5.75
45,Saldanha,ZA,2022-05-30 19:31:08,-33.0117,17.9442,53.65,72,2,4.61
46,Rikitea,PF,2022-05-30 19:31:08,-23.1203,-134.9692,74.62,78,39,11.77
47,Flinders,AU,2022-05-30 19:31:08,-34.5833,150.8552,54.25,72,91,4.0
48,Bluff,NZ,2022-05-30 19:31:06,-46.6,168.3333,51.8,76,100,17.0
49,Torbay,CA,2022-05-30 19:28:36,47.6666,-52.7314,68.77,51,20,18.41
50,Mataura,NZ,2022-05-30 19:32:09,-46.1927,168.8643,51.48,94,100,3.49
51,Qaanaaq,GL,2022-05-30 19:32:09,77.484,-69.3632,26.92,73,100,7.7
52,Hobart,AU,2022-05-30 19:30:02,-42.8794,147.3294,42.03,93,100,9.22
53,Ilulissat,GL,2022-05-30 19:32:10,69.2167,-51.1,36.59,78,77,3.98
54,Mataram,ID,2022-05-30 19:32:10,-8.5833,116.1167,78.91,75,23,5.26
55,Loandjili,CG,2022-05-30 19:32:11,-4.7561,11.8578,74.21,91,79,6.78
56,Castro,BR,2022-05-30 19:32:11,-24.7911,-50.0119,62.82,96,100,8.52
57,Conway,US,2022-05-30 19:32:11,35.0887,-92.4421,88.7,52,20,20.71
58,Fairbanks,US,2022-05-30 19:31:03,64.8378,-147.7164,68.09,40,0,1.01
59,Tazovskiy,RU,2022-05-30 19:32:12,67.4667,78.7,32.47,79,22,15.93
60,Springfield,US,2022-05-30 19:30:06,37.2153,-93.2982,85.23,54,0,21.85
61,Albany,US,2022-05-30 19:28:03,42.6001,-73.9662,87.44,49,45,7.29
62,Luderitz,NA,2022-05-30 19:32:12,-26.6481,15.1594,58.12,59,2,15.08
63,Half Moon Bay,US,2022-05-30 19:27:15,37.4636,-122.4286,77.88,60,0,17.27
64,Pitelino,RU,2022-05-30 19:32:13,54.5777,41.8145,54.57,69,98,4.43
65,Berdigestyakh,RU,2022-05-30 19:32:13,62.0989,126.6992,49.62,98,100,4.0
66,Hofn,IS,2022-05-30 19:32:14,64.2539,-15.2082,50.02,81,75,10.36
67,Hailar,CN,2022-05-30 19:32:14,49.2,119.7,46.51,66,100,5.48
68,Jiuquan,CN,2022-05-30 19:32:14,39.7432,98.5174,68.56,14,90,3.13
69,Tuatapere,NZ,2022-05-30 19:32:15,-46.1333,167.6833,53.28,86,97,6.42
70,Bredasdorp,ZA,2022-05-30 19:32:15,-34.5322,20.0403,57.58,64,99,18.79
71,Verkhnyaya Tura,RU,2022-05-30 19:32:16,58.3594,59.8175,47.75,95,100,6.33
72,Atuona,PF,2022-05-30 19:32:16,-9.8,-139.0333,77.88,77,77,12.21
73,Cape Town,ZA,2022-05-30 19:31:24,-33.9258,18.4232,61.38,71,75,14.97
74,Loa Janan,ID,2022-05-30 19:32:16,-0.583,117.095,71.2,89,64,1.83
75,Norman Wells,CA,2022-05-30 19:32:17,65.282,-126.8329,64.44,36,40,5.75
76,Champa,IN,2022-05-30 19:32:13,22.05,82.65,88.88,30,78,5.66
77,Chuy,UY,2022-05-30 19:32:17,-33.6971,-53.4616,47.84,67,28,14.16
78,Tuktoyaktuk,CA,2022-05-30 19:28:27,69.4541,-133.0374,33.8,75,75,2.3
79,Hithadhoo,MV,2022-05-30 19:29:49,-0.6,73.0833,83.7,68,99,11.25
80,Zhangjiakou,CN,2022-05-30 19:32:18,40.81,114.8794,58.6,18,75,3.11
81,Puerto Ayora,EC,2022-05-30 19:27:58,-0.7393,-90.3518,80.56,80,87,9.78
82,Carnarvon,AU,2022-05-30 19:32:19,-24.8667,113.6333,61.9,62,99,18.32
83,Harnosand,SE,2022-05-30 19:32:19,62.6323,17.9379,57.22,92,100,8.95
84,Rubtsovsk,RU,2022-05-30 19:32:19,51.5,81.25,63.45,50,100,5.39
85,Bolekhiv,UA,2022-05-30 19:32:20,49.0661,23.8643,52.45,84,54,3.91
86,Klaksvik,FO,2022-05-30 19:32:20,62.2266,-6.589,47.32,89,100,11.25
87,Nanortalik,GL,2022-05-30 19:32:21,60.1432,-45.2371,38.37,88,93,1.86
88,Kununurra,AU,2022-05-30 19:32:21,-15.7667,128.7333,66.18,88,87,0.0
89,Nangal,IN,2022-05-30 19:32:21,31.3667,76.3833,84.36,29,58,5.68
90,Gat,IL,2022-05-30 19:32:22,31.61,34.7642,80.4,62,0,3.33
91,Tual,ID,2022-05-30 19:32:22,-5.6667,132.75,82.6,70,100,2.75
92,Fort Nelson,CA,2022-05-30 19:32:22,58.8053,-122.7002,62.19,36,75,4.61
93,Kismayo,SO,2022-05-30 19:33:23,-0.3582,42.5454,79.18,77,20,13.29
94,Dunedin,NZ,2022-05-30 19:33:23,-45.8742,170.5036,51.8,71,100,5.99
95,Ossora,RU,2022-05-30 19:33:23,59.2353,163.0719,40.6,78,96,2.42
96,Zlitan,LY,2022-05-30 19:33:24,32.4674,14.5687,79.92,41,92,14.58
97,Kapaa,US,2022-05-30 19:33:24,22.0752,-159.319,79.48,74,40,12.66
98,Sabha,LY,2022-05-30 19:33:24,27.0377,14.4283,91.22,14,98,8.99
99,Aklavik,CA,2022-05-30 19:33:24,68.2191,-135.0107,37.4,81,75,5.75
100,Longyearbyen,SJ,2022-05-30 19:33:14,78.2186,15.6401,40.84,87,40,16.11
101,Ozernovskiy,RU,2022-05-30 19:33:25,51.5,156.5167,41.14,97,100,3.53
102,Qunduz,AF,2022-05-30 19:29:50,36.729,68.857,73.72,21,0,2.73
103,Banda Aceh,ID,2022-05-30 19:33:25,5.5577,95.3222,80.62,78,100,13.09
104,Salvador,SV,2022-05-30 19:32:17,13.8333,-88.9167,80.06,74,85,5.93
105,Upernavik,GL,2022-05-30 19:33:26,72.7868,-56.1549,30.11,79,25,15.08
106,Sangar,RU,2022-05-30 19:33:26,63.9242,127.4739,46.58,92,100,11.32
